This is a logfile generated by pires.obd.readerlat:42.65805558;long:-71.32294288;alt:-3.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ATZELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1462029596590;42.64261855;-71.34155513;-5.0;;101kPa;89C;NODATA;55.3%;NODATA;1431RPM;NODATA;12.54g/s;null;null;NODATA;Gasoline;35C;NODATA;74km/h;NODATA;-0.8%;00:05:58;20.0%;MIL is OFF0 codes;;70.2%;1.0%
1462029602634;42.64211765;-71.34289283;-1.0;;101kPa;90C;NODATA;59.6%;NODATA;1360RPM;NODATA;11.39g/s;null;null;NODATA;Gasoline;30C;NODATA;78km/h;NODATA;-0.8%;00:06:05;21.2%;MIL is OFF0 codes;;66.3%;0.0%
1462029608670;42.64184251;-71.34455019;-2.0;;101kPa;90C;NODATA;88.2%;NODATA;2313RPM;NODATA;38.53g/s;null;null;NODATA;Gasoline;31C;NODATA;84km/h;NODATA;-0.8%;00:06:11;31.0%;MIL is OFF0 codes;;60.0%;1.0%
1462029614703;42.64158286;-71.34622835;-3.0;;101kPa;91C;NODATA;54.5%;NODATA;1559RPM;NODATA;13.82g/s;null;null;NODATA;Gasoline;30C;NODATA;85km/h;NODATA;-0.8%;00:06:16;20.8%;MIL is OFF0 codes;;70.6%;1.0%
1462029620773;42.64131537;-71.34789935;-1.0;;101kPa;91C;NODATA;51.8%;NODATA;1602RPM;NODATA;35.01g/s;null;null;NODATA;Gasoline;31C;NODATA;81km/h;NODATA;0.0%;00:06:22;32.2%;MIL is OFF0 codes;;70.2%;0.0%
1462029626830;42.64105581;-71.34968723;0.0;;101kPa;91C;NODATA;22.4%;NODATA;1471RPM;NODATA;4.48g/s;null;null;NODATA;Gasoline;35C;NODATA;74km/h;NODATA;0.0%;00:06:28;16.1%;MIL is OFF0 codes;;71.0%;0.0%
1462029632881;42.64091885;-71.35104437;0.0;;101kPa;90C;NODATA;22.4%;NODATA;1300RPM;NODATA;3.92g/s;null;null;NODATA;Gasoline;35C;NODATA;63km/h;NODATA;0.0%;00:06:35;15.7%;MIL is OFF0 codes;;69.4%;0.0%
1462029638902;42.64088437;-71.35200313;1.0;;101kPa;90C;NODATA;23.1%;NODATA;1006RPM;NODATA;3.07g/s;null;null;NODATA;Gasoline;36C;NODATA;44km/h;NODATA;0.0%;00:06:40;14.9%;MIL is OFF0 codes;;67.5%;0.0%
1462029644950;42.64087138;-71.35244421;2.0;;101kPa;89C;NODATA;22.7%;NODATA;1166RPM;NODATA;3.57g/s;null;null;NODATA;Gasoline;36C;NODATA;13km/h;NODATA;0.0%;00:06:46;15.7%;MIL is OFF0 codes;;67.1%;0.0%
1462029650991;42.64086859;-71.35251474;1.0;;101kPa;90C;NODATA;29.4%;NODATA;605RPM;NODATA;2.56g/s;null;null;NODATA;Gasoline;36C;NODATA;4km/h;NODATA;0.0%;00:06:52;14.9%;MIL is OFF0 codes;;64.3%;0.0%
