This is a logfile generated by pires.obd.readerlat:42.55186826;long:-71.26612661;alt:43.0;vehicleid:;readings:otocol AUTO=OK; Reset OBD=ELM327v1.3a; Echo Off=OK; Timeout=OK; Line Feed Off=OK
TIME;LATITUDE;LONGITUDE;VEHICLE_ID;BAROMETRIC_PRESSURE;ENGINE_COOLANT_TEMP;FUEL_LEVEL;ENGINE_LOAD;AMBIENT_AIR_TEMP;ENGINE_RPM;INTAKE_MANIFOLD_PRESSURE;MAF;Term Fuel Trim Bank 1;FUEL_ECONOMY;Long Term Fuel Trim Bank 2;FUEL_TYPE;AIR_INTAKE_TEMP;FUEL_PRESSURE;SPEED;Short Term Fuel Trim Bank 2;Short Term Fuel Trim Bank 1;ENGINE_RUNTIME;THROTTLE_POS;DTC_NUMBER;TROUBLE_CODES;TIMING_ADVANCE;EQUIV_RATIO
1460324369727;42.5593373;-71.26909656;50.0;;null;null;NODATA;null;null;604RPM;null;null;null;null;null;null;null;null;1.86mph;null;null;00:07:29;null;null;null;null;null
1460324373730;42.5593862;-71.2691108;52.0;;null;null;NODATA;null;null;605RPM;null;null;null;null;null;null;null;null;0.00mph;null;null;00:07:33;null;null;null;null;null
1460324377742;42.55958579;-71.26920538;52.0;;null;null;NODATA;null;null;2054RPM;null;null;null;null;null;null;null;null;11.81mph;null;null;00:07:37;null;null;null;null;null
1460324381747;42.55985709;-71.26932253;52.0;;null;null;NODATA;null;null;1249RPM;null;null;null;null;null;null;null;null;17.40mph;null;null;00:07:41;null;null;null;null;null
1460324385798;42.56002814;-71.26936205;52.0;;null;null;NODATA;null;null;897RPM;null;null;null;null;null;null;null;null;13.67mph;null;null;00:07:44;null;null;null;null;null
1460324389812;42.56008814;-71.26940557;51.0;;null;null;NODATA;null;null;1604RPM;null;null;null;null;null;null;null;null;8.08mph;null;null;00:07:49;null;null;null;null;null
1460324393828;42.56010228;-71.26977058;52.0;;null;null;NODATA;null;null;1457RPM;null;null;null;null;null;null;null;null;14.91mph;null;null;00:07:52;null;null;null;null;null
1460324397845;42.55996958;-71.27016587;52.0;;null;null;NODATA;null;null;1431RPM;null;null;null;null;null;null;null;null;19.88mph;null;null;00:07:56;null;null;null;null;null
1460324401856;42.55983773;-71.27066597;51.0;;null;null;NODATA;null;null;1316RPM;null;null;null;null;null;null;null;null;22.99mph;null;null;00:08:00;null;null;null;null;null
1460324405861;42.55979432;-71.271238;49.0;;null;null;NODATA;null;null;1341RPM;null;null;null;null;null;null;null;null;26.72mph;null;null;00:08:04;null;null;null;null;null
1460324409865;42.55975157;-71.27186602;46.0;;null;null;NODATA;null;null;1464RPM;null;null;null;null;null;null;null;null;29.20mph;null;null;00:08:08;null;null;null;null;null
1460324413871;42.55958345;-71.27249088;43.0;;null;null;NODATA;null;null;1216RPM;null;null;null;null;null;null;null;null;29.83mph;null;null;00:08:12;null;null;null;null;null
1460324417878;42.55936388;-71.27312132;42.0;;null;null;NODATA;null;null;1190RPM;null;null;null;null;null;null;null;null;31.69mph;null;null;00:08:16;null;null;null;null;null
1460324421893;42.55916011;-71.27375296;40.0;;null;null;NODATA;null;null;1086RPM;null;null;null;null;null;null;null;null;31.69mph;null;null;00:08:20;null;null;null;null;null
1460324425903;42.55893154;-71.27434931;40.0;;null;null;NODATA;null;null;1036RPM;null;null;null;null;null;null;null;null;30.45mph;null;null;00:08:24;null;null;null;null;null
1460324429918;42.55866212;-71.27492309;38.0;;null;null;NODATA;null;null;1142RPM;null;null;null;null;null;null;null;null;30.45mph;null;null;00:08:28;null;null;null;null;null
1460324433926;42.55841411;-71.27557569;36.0;;null;null;NODATA;null;null;1178RPM;null;null;null;null;null;null;null;null;31.69mph;null;null;00:08:32;null;null;null;null;null
1460324437939;42.558186;-71.2762431;34.0;;null;null;NODATA;null;null;1266RPM;null;null;null;null;null;null;null;null;34.80mph;null;null;00:08:36;null;null;null;null;null
1460324441955;42.55795516;-71.27692542;31.0;;null;null;NODATA;null;null;1171RPM;null;null;null;null;null;null;null;null;34.18mph;null;null;00:08:40;null;null;null;null;null
1460324445969;42.55776472;-71.27762096;29.0;;null;null;NODATA;null;null;1596RPM;null;null;null;null;null;null;null;null;33.55mph;null;null;00:08:44;null;null;null;null;null
1460324449985;42.55770606;-71.27814929;25.0;;null;null;NODATA;null;null;1654RPM;null;null;null;null;null;null;null;null;34.18mph;null;null;00:08:48;null;null;null;null;null
1460324454002;42.55766381;-71.27912163;24.0;;null;null;NODATA;null;null;1710RPM;null;null;null;null;null;null;null;null;35.42mph;null;null;00:08:52;null;null;null;null;null
1460324458021;42.5577068;-71.27996558;16.0;;null;null;NODATA;null;null;1841RPM;null;null;null;null;null;null;null;null;37.90mph;null;null;00:08:55;null;null;null;null;null
1460324462055;42.55767021;-71.28085926;13.0;;null;null;NODATA;null;null;2084RPM;null;null;null;null;null;null;null;null;41.01mph;null;null;00:08:59;null;null;null;null;null
